seed,alpha,dynamic_value,minimax_value,at_minimax_value
0,0.0,11.643875541636206,25.68342325518909,0
0,0.25,22.47857704190126,25.68342325518909,0
0,0.5,25.51226608891777,25.68342325518909,0
0,0.6,25.617135545934644,25.68342325518909,0
0,0.65,25.68342325518909,25.68342325518909,1
0,0.7,25.68342325518909,25.68342325518909,1
0,0.75,25.68342325518909,25.68342325518909,1
0,0.8,25.68342325518909,25.68342325518909,1
0,0.85,25.68342325518909,25.68342325518909,1
0,0.9,25.68342325518909,25.68342325518909,1
0,0.925,25.68342325518909,25.68342325518909,1
0,0.95,25.68342325518909,25.68342325518909,1
0,0.975,25.68342325518909,25.68342325518909,1
0,0.99,25.68342325518909,25.68342325518909,1
1,0.0,11.800162693416802,26.760930702527432,0
1,0.25,22.461044734155813,26.760930702527432,0
1,0.5,26.0868021892908,26.760930702527432,0
1,0.6,26.24424879662604,26.760930702527432,0
1,0.65,26.35671065900835,26.760930702527432,0
1,0.7,26.50665980885144,26.760930702527432,0
1,0.75,26.716588618631746,26.760930702527432,0
1,0.8,26.760930702527432,26.760930702527432,1
1,0.85,26.760930702527432,26.760930702527432,1
1,0.9,26.760930702527432,26.760930702527432,1
1,0.925,26.760930702527432,26.760930702527432,1
1,0.95,26.760930702527432,26.760930702527432,1
1,0.975,26.760930702527432,26.760930702527432,1
1,0.99,26.760930702527432,26.760930702527432,1
2,0.0,10.364003144426277,26.90825519380082,0
2,0.25,19.990358991576073,26.90825519380082,0
2,0.5,26.86588512397077,26.90825519380082,0
2,0.6,26.896984100091316,26.90825519380082,0
2,0.65,26.90825519380082,26.90825519380082,1
2,0.7,26.90825519380082,26.90825519380082,1
2,0.75,26.90825519380082,26.90825519380082,1
2,0.8,26.90825519380082,26.90825519380082,1
2,0.85,26.90825519380082,26.90825519380082,1
2,0.9,26.90825519380082,26.90825519380082,1
2,0.925,26.90825519380082,26.90825519380082,1
2,0.95,26.90825519380082,26.90825519380082,1
2,0.975,26.90825519380082,26.90825519380082,1
2,0.99,26.90825519380082,26.90825519380082,1
3,0.0,13.391214690585144,27.43286024486371,0
3,0.25,25.41222982064251,27.43286024486371,0
3,0.5,26.99034451884031,27.43286024486371,0
3,0.6,27.129228315324497,27.43286024486371,0
3,0.65,27.20810221321601,27.43286024486371,0
3,0.7,27.3132674104047,27.43286024486371,0
3,0.75,27.43286024486371,27.43286024486371,1
3,0.8,27.43286024486371,27.43286024486371,1
3,0.85,27.43286024486371,27.43286024486371,1
3,0.9,27.43286024486371,27.43286024486371,1
3,0.925,27.43286024486371,27.43286024486371,1
3,0.95,27.43286024486371,27.43286024486371,1
3,0.975,27.43286024486371,27.43286024486371,1
3,0.99,27.43286024486371,27.43286024486371,1
4,0.0,13.005326206176868,26.73203805632886,0
4,0.25,24.844877151043747,26.73203805632886,0
4,0.5,26.683180030144037,26.73203805632886,0
4,0.6,26.704198470383965,26.73203805632886,0
4,0.65,26.711406141613395,26.73203805632886,0
4,0.7,26.72101636991929,26.73203805632886,0
4,0.75,26.73203805632886,26.73203805632886,1
4,0.8,26.73203805632886,26.73203805632886,1
4,0.85,26.73203805632886,26.73203805632886,1
4,0.9,26.73203805632886,26.73203805632886,1
4,0.925,26.73203805632886,26.73203805632886,1
4,0.95,26.73203805632886,26.73203805632886,1
4,0.975,26.73203805632886,26.73203805632886,1
4,0.99,26.73203805632886,26.73203805632886,1
5,0.0,12.215041790914476,26.85111631425768,0
5,0.25,22.493938026357306,26.85111631425768,0
5,0.5,25.83824485556967,26.85111631425768,0
5,0.6,26.28710046888287,26.85111631425768,0
5,0.65,26.607711621249436,26.85111631425768,0
5,0.7,26.85111631425768,26.85111631425768,1
5,0.75,26.85111631425768,26.85111631425768,1
5,0.8,26.85111631425768,26.85111631425768,1
5,0.85,26.85111631425768,26.85111631425768,1
5,0.9,26.85111631425768,26.85111631425768,1
5,0.925,26.85111631425768,26.85111631425768,1
5,0.95,26.85111631425768,26.85111631425768,1
5,0.975,26.85111631425768,26.85111631425768,1
5,0.99,26.85111631425768,26.85111631425768,1
6,0.0,11.459089457876502,27.435851592795345,0
6,0.25,22.01765654843892,27.435851592795345,0
6,0.5,26.937690490367473,27.435851592795345,0
6,0.6,27.219970187736998,27.435851592795345,0
6,0.65,27.421598543000954,27.435851592795345,0
6,0.7,27.435851592795345,27.435851592795345,1
6,0.75,27.435851592795345,27.435851592795345,1
6,0.8,27.435851592795345,27.435851592795345,1
6,0.85,27.435851592795345,27.435851592795345,1
6,0.9,27.435851592795345,27.435851592795345,1
6,0.925,27.435851592795345,27.435851592795345,1
6,0.95,27.435851592795345,27.435851592795345,1
6,0.975,27.435851592795345,27.435851592795345,1
6,0.99,27.435851592795345,27.435851592795345,1
7,0.0,13.38124155417205,27.29676002805502,0
7,0.25,26.25521871973234,27.29676002805502,0
7,0.5,27.167178198415264,27.29676002805502,0
7,0.6,27.25942733724962,27.29676002805502,0
7,0.65,27.270736193976887,27.29676002805502,0
7,0.7,27.285814669613245,27.29676002805502,0
7,0.75,27.29676002805502,27.29676002805502,1
7,0.8,27.29676002805502,27.29676002805502,1
7,0.85,27.29676002805502,27.29676002805502,1
7,0.9,27.29676002805502,27.29676002805502,1
7,0.925,27.29676002805502,27.29676002805502,1
7,0.95,27.29676002805502,27.29676002805502,1
7,0.975,27.29676002805502,27.29676002805502,1
7,0.99,27.29676002805502,27.29676002805502,1
8,0.0,11.189188733627091,26.696987853119637,0
8,0.25,22.172481549115915,26.696987853119637,0
8,0.5,26.631020005826073,26.696987853119637,0
8,0.6,26.64836089303941,26.696987853119637,0
8,0.65,26.660747241048938,26.696987853119637,0
8,0.7,26.677262371728304,26.696987853119637,0
8,0.75,26.696987853119637,26.696987853119637,1
8,0.8,26.696987853119637,26.696987853119637,1
8,0.85,26.696987853119637,26.696987853119637,1
8,0.9,26.696987853119637,26.696987853119637,1
8,0.925,26.696987853119637,26.696987853119637,1
