family,instance_id,seed,method,original_objective,original_planning_alpha,common_objective,common_objective_planning_alpha,terminal_evaluation_statistic,terminal_evaluation_alpha,horizon,worlds,root_action,original_objective_value,expected_regret,static_cvar95_regret,worst_regret,common_proposed_nested_dynamic_regret,common_objective_gap_to_proposed,common_objective_optimal,hard_satisfaction_flag,exact_world_enumeration,frozen_raw_row_match
random_hub_m8,hub_seed_04,4,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.7320380563,23.9745449503,26.7320380563,26.7320380563,26.6831800301,0,1,1,1,1
random_hub_m8,hub_seed_04,4,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u2,19.0307812559,13.0053262062,31.0029570918,31.0029570918,30.8799126133,4.1967325832,0,1,1,1
random_hub_m8,hub_seed_04,4,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.9745449503,26.7320380563,26.7320380563,26.6831800301,0,1,1,1,1
random_hub_m8,hub_seed_04,4,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.6831800301,23.9745449503,26.7320380563,26.7320380563,26.6831800301,0,1,1,1,1
random_hub_m8,hub_seed_05,5,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.4039724797,26.8511163143,26.8511163143,25.8382448556,0,1,1,1,1
random_hub_m8,hub_seed_05,5,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.8511163143,23.4039724797,26.8511163143,26.8511163143,25.8382448556,0,1,1,1,1
random_hub_m8,hub_seed_05,5,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u0,18.8110693112,12.2150417909,29.5067204467,29.5067204467,29.2744179248,3.43617306924,0,1,1,1
random_hub_m8,hub_seed_05,5,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.4039724797,26.8511163143,26.8511163143,25.8382448556,0,1,1,1,1
random_hub_m8,hub_seed_05,5,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,25.8382448556,23.4039724797,26.8511163143,26.8511163143,25.8382448556,0,1,1,1,1
random_hub_m8,hub_seed_06,6,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.0856568025,27.4358515928,27.4358515928,26.9376904904,0,1,1,1,1
random_hub_m8,hub_seed_06,6,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,27.4358515928,24.0856568025,27.4358515928,27.4358515928,26.9376904904,0,1,1,1,1
random_hub_m8,hub_seed_06,6,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u0,17.3734326554,11.4590894579,29.3946175043,29.3946175043,29.344175233,2.4064847426,0,1,1,1
random_hub_m8,hub_seed_06,6,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.0856568025,27.4358515928,27.4358515928,26.9376904904,0,1,1,1,1
random_hub_m8,hub_seed_06,6,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.9376904904,24.0856568025,27.4358515928,27.4358515928,26.9376904904,0,1,1,1,1
random_hub_m8,hub_seed_07,7,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.1970244857,27.2967600281,27.2967600281,27.1671781984,0,1,1,1,1
random_hub_m8,hub_seed_07,7,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,27.2967600281,24.1970244857,27.2967600281,27.2967600281,27.1671781984,0,1,1,1,1
random_hub_m8,hub_seed_07,7,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u0,19.1842170685,13.3812415542,31.9641735418,31.9641735418,31.0076923315,3.84051413312,0,1,1,1
random_hub_m8,hub_seed_07,7,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.1970244857,27.2967600281,27.2967600281,27.1671781984,0,1,1,1,1
random_hub_m8,hub_seed_07,7,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,27.1671781984,24.1970244857,27.2967600281,27.2967600281,27.1671781984,0,1,1,1,1
random_hub_m8,hub_seed_08,8,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,24.2705018565,26.6969878531,26.6969878531,26.6310200058,0,1,1,1,1
