criterion,mission_start_objective,planned_action_at_rare_H,action_after_resolving_same_criterion_at_H,conditional_objective_at_H,mismatch_probability,world_regrets
static_precommitment_CVaR_regret,10.1,a,b,17.0,0.05,"{'w1': 20.0, 'w2': 3.0, 'w3': 6.0, 'w4': 9.0}"
nested_dynamic_CVaR_regret,10.6,b,b,17.0,0.0,"{'w1': 16.0, 'w2': 17.0, 'w3': 6.0, 'w4': 9.0}"
