family,seed,H,pmin_dynamic_support,branch_pmin,terminal_gap_pmin,sufficient_alpha_threshold,minimax_value,minimax_root,reachable_augmented_states
hub_m8,0,5,0.01962788808163941,0.26142668004687414,0.01962788808163941,0.9803721119183606,25.68342325518909,g,646
hub_m8,1,5,0.02758701913093106,0.24149827905798418,0.02758701913093106,0.9724129808690689,26.760930702527432,g,646
hub_m8,2,5,0.018055317831436914,0.2290482188362894,0.018055317831436914,0.9819446821685631,26.90825519380082,g,646
hub_m8,3,5,0.029426389000343812,0.22210687864877984,0.029426389000343812,0.9705736109996562,27.43286024486371,g,646
hub_m8,4,5,0.03721794960743142,0.23064241530873436,0.03721794960743142,0.9627820503925686,26.73203805632886,g,646
hub_m8,5,5,0.017369636979606144,0.22464083652537836,0.017369636979606144,0.9826303630203939,26.85111631425768,g,646
hub_m8,6,5,0.027782016386717852,0.22007227438161137,0.027782016386717852,0.9722179836132822,27.435851592795345,g,646
hub_m8,7,5,0.032828249923156666,0.22927982796395308,0.032828249923156666,0.9671717500768433,27.29676002805502,g,646
hub_m8,8,5,0.021055319014740708,0.2336296428881204,0.021055319014740708,0.9789446809852593,26.696987853119637,g,646
hub_m8,9,5,0.019958645170653863,0.22102960865297971,0.019958645170653863,0.9800413548293462,27.2701828207479,g,646
hub_m10,0,5,0.011789886010862283,0.26142668004687414,0.011789886010862283,0.9882101139891377,25.53118078940718,g,997
hub_m10,1,5,0.00894885541912351,0.22453559624352099,0.00894885541912351,0.9910511445808765,26.93070582986305,g,997
hub_m10,2,5,0.010603778102060963,0.2290482188362894,0.010603778102060963,0.9893962218979391,26.925573297797342,g,997
hub_m10,3,5,0.012660433056999909,0.22210687864877984,0.012660433056999909,0.9873395669430001,26.917456670035996,g,997
hub_m10,4,5,0.011712032192879569,0.23064241530873436,0.011712032192879569,0.9882879678071205,26.908555607000594,g,997
hub_m10,5,5,0.007509929921719483,0.22464083652537836,0.007509929921719483,0.9924900700782805,26.68894072197338,u0,997
hub_m10,6,5,0.009838718872276915,0.22007227438161137,0.009838718872276915,0.9901612811277231,27.50617519327666,g,997
hub_m10,7,5,0.017272401551194846,0.22599930535071755,0.017272401551194846,0.9827275984488052,27.40737942362486,g,997
hub_m10,8,5,0.012323614407782903,0.2336296428881204,0.012323614407782903,0.987676385592217,26.829103055873404,g,997
hub_m10,9,5,0.014479376797200474,0.22102960865297971,0.014479376797200474,0.9855206232027995,27.62954511263333,g,997
intel_scLTL,0,11,0.011601979199999998,0.24505154639175258,0.011601979199999998,0.9883980208,6.360811250144792,bl,274
