family,alpha,dynamic_value,root_action,minimax_value,minimax_root,value_gap_to_minimax,at_minimax_value
hub_m8_seed0,0.0,11.643875541636206,u0,25.68342325518909,g,14.039547713552885,0
hub_m8_seed0,0.25,22.47857704190126,u0,25.68342325518909,g,3.20484621328783,0
hub_m8_seed0,0.5,25.51226608891777,g,25.68342325518909,g,0.17115716627132116,0
hub_m8_seed0,0.75,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.85,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.9,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.925,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.95,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.975,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.99,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.995,25.68342325518909,g,25.68342325518909,g,0.0,1
hub_m8_seed0,0.999,25.68342325518909,g,25.68342325518909,g,0.0,1
intel_scLTL,0.0,3.4119954133276593,d0,6.360811250144792,bl,2.9488158368171327,0
intel_scLTL,0.25,4.4873365208156955,d0,6.360811250144792,bl,1.8734747293290965,0
intel_scLTL,0.5,5.644776892872176,d0,6.360811250144792,bl,0.7160343572726156,0
intel_scLTL,0.75,6.135248827856607,d0,6.360811250144792,bl,0.2255624222881849,0
intel_scLTL,0.85,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.9,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.925,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.95,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.975,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.99,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.995,6.360811250144792,bl,6.360811250144792,bl,0.0,1
intel_scLTL,0.999,6.360811250144792,bl,6.360811250144792,bl,0.0,1
