alpha,H,worlds,dfa_states,root_action,dynamic_regret_objective,exact_mean_cost,exact_mean_regret,exact_cvar95_regret,exact_worst_regret,all_worlds_satisfied,generated_agent_states,symbolic_oracle_nodes
0.0,11,32,4,d0,3.4119954133276593,25.492930410188293,3.4119954133276647,6.78291306211209,6.78291306211209,1,1479,210
0.25,11,32,4,d0,4.4873365208156955,25.492930410188293,3.4119954133276647,6.78291306211209,6.78291306211209,1,1479,210
0.5,11,32,4,d0,5.644776892872176,25.858152352276782,3.7772173554161546,6.406562630430727,6.406562630430727,1,1489,210
0.75,11,32,4,d0,6.135248827856607,25.858152352276782,3.7772173554161546,6.406562630430727,6.406562630430727,1,1489,210
0.9,11,32,4,bl,6.360811250144792,25.88281914833096,3.8018841514703317,6.360811250144799,6.360811250144799,1,1489,210
