candidate,rare_action,static_cvar,expected_regret,worst_regret,R_w1,R_w2,R_w3,R_w4
1,a,10.1,7.699999999999999,20.0,20.0,3.0,6.0,9.0
0,b,10.5,7.949999999999999,17.0,16.0,17.0,6.0,9.0
