seed,m,worlds,H,planning_alpha,root_action,dynamic_objective,exact_mean_cost,exact_mean_regret,exact_var95_regret,exact_cvar95_regret,exact_worst_regret,exact_satisfaction_all_worlds
0,10,1024,5,0.0,u1,12.422771183568052,18.19564270986794,12.422771183568052,29.928526379590718,29.928526379590718,29.928526379590718,1
0,10,1024,5,0.25,u0,22.68345163919453,18.219693842761522,12.446822316461635,29.928526379590718,29.928526379590718,29.928526379590718,1
0,10,1024,5,0.5,g,25.48362015972649,30.0,24.227128473700112,25.53118078940718,25.53118078940718,25.53118078940718,1
0,10,1024,5,0.75,g,25.53118078940718,30.0,24.227128473700112,25.53118078940718,25.53118078940718,25.53118078940718,1
0,10,1024,5,0.9,g,25.53118078940718,30.0,24.227128473700112,25.53118078940718,25.53118078940718,25.53118078940718,1
1,10,1024,5,0.0,u1,12.354401227928228,17.202307503360142,12.354401227928223,31.699719009113863,31.699719009113863,31.699719009113863,1
1,10,1024,5,0.25,u1,23.081531715345108,17.202307503360142,12.354401227928223,31.699719009113863,31.699719009113863,31.699719009113863,1
1,10,1024,5,0.5,g,26.737145324023295,30.0,25.15209372456808,26.93070582986305,26.93070582986305,26.93070582986305,1
1,10,1024,5,0.75,g,26.917974019799672,30.0,25.15209372456808,26.93070582986305,26.93070582986305,26.93070582986305,1
1,10,1024,5,0.9,g,26.93070582986305,30.0,25.15209372456808,26.93070582986305,26.93070582986305,26.93070582986305,1
2,10,1024,5,0.0,u0,10.99111033505519,15.963218986026716,10.991110335055188,29.651230819446802,29.651230819446802,29.651230819446802,1
2,10,1024,5,0.25,u0,20.166025188385333,15.963218986026716,10.991110335055188,29.651230819446802,29.651230819446802,29.651230819446802,1
2,10,1024,5,0.5,g,26.905575520517573,30.0,25.027891349028472,26.925573297797342,26.925573297797342,26.925573297797342,1
2,10,1024,5,0.75,g,26.925573297797342,30.0,25.027891349028472,26.925573297797342,26.925573297797342,26.925573297797342,1
2,10,1024,5,0.9,g,26.925573297797342,30.0,25.027891349028472,26.925573297797342,26.925573297797342,26.925573297797342,1
