H,dynamic_objective_mean,dynamic_objective_std,runtime_mean_s,runtime_std_s,peak_mb_mean,agent_states_mean,value_states_mean
1,26.052477439290794,0.560653408475717,0.02275834969991589,0.0035417463895249532,0.02927856445312496,18.0,1.0
2,26.052477439290794,0.560653408475717,0.00307615570000047,0.00024918857747272764,0.03790817260742184,26.0,1.0
3,13.431506226166888,0.810226392331525,0.04503396950003657,0.004680737481297681,0.39339122772216795,274.0,33.0
5,7.515634321475656,0.6724134103702554,0.3667095941000298,0.015105223958370986,2.466072845458984,1842.0,401.0
7,4.789470948358791,0.3618710518900825,2.0454331413999625,0.056633262407746895,10.201920318603516,7218.0,2561.0
