family,seed,method,root_action,optimization_objective,mean_cost,mean_regret,cvar95_regret,worst_regret,worst_cost,satisfaction_all_worlds,worlds
random_hub_m8,0,Worst absolute cost,g,30.0,30.0,23.49945359379582,25.68342325518909,25.68342325518909,30.0,1,256
random_hub_m8,0,Minimax regret,g,25.68342325518909,30.0,23.49945359379582,25.68342325518909,25.68342325518909,30.0,1,256
random_hub_m8,0,Expected cost / regret,u0,18.14442194784038,18.14442194784038,11.6438755416362,30.12800739830832,30.12800739830832,35.2573657828158,1,256
random_hub_m8,0,Dynamic CVaR cost a=0.5,g,30.0,30.0,23.49945359379582,25.68342325518909,25.68342325518909,30.0,1,256
random_hub_m8,0,Proposed dynamic CVaR regret a=0.5,g,25.51226608891777,30.0,23.49945359379582,25.68342325518909,25.68342325518909,30.0,1,256
random_hub_m8,1,Worst absolute cost,g,30.0,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,30.0,1,256
random_hub_m8,1,Minimax regret,g,26.760930702527432,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,30.0,1,256
random_hub_m8,1,Expected cost / regret,u1,18.193559080235463,18.193559080235463,11.800162693416805,31.514435454248062,31.514435454248062,34.753504751720634,1,256
random_hub_m8,1,Dynamic CVaR cost a=0.5,g,30.0,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,30.0,1,256
random_hub_m8,1,Proposed dynamic CVaR regret a=0.5,g,26.0868021892908,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,30.0,1,256
random_hub_m8,2,Worst absolute cost,g,30.0,30.0,24.211442111218552,26.90825519380082,26.90825519380082,30.0,1,256
random_hub_m8,2,Minimax regret,g,26.90825519380082,30.0,24.211442111218552,26.90825519380082,26.90825519380082,30.0,1,256
random_hub_m8,2,Expected cost / regret,u1,16.15256103320772,16.15256103320772,10.364003144426274,30.19183260931564,30.19183260931564,34.79618833184897,1,256
random_hub_m8,2,Dynamic CVaR cost a=0.5,g,30.0,30.0,24.211442111218552,26.90825519380082,26.90825519380082,30.0,1,256
